,material damage,minor injuries,major injuries,fatal
morning,0.2179487179487179,0.16,0.1645569620253164,0.2727272727272727
noon,0.3461538461538461,0.28,0.1645569620253164,0.0909090909090909
afternoon,0.1282051282051282,0.112,0.2025316455696202,0.0909090909090909
night,0.3076923076923077,0.448,0.4683544303797468,0.5454545454545454
mon,0.141025641025641,0.12,0.1265822784810126,0.0909090909090909
tue,0.1282051282051282,0.176,0.1392405063291139,0.1818181818181818
wed,0.1666666666666666,0.072,0.1392405063291139,0.2727272727272727
thr,0.2307692307692307,0.16,0.0886075949367088,0.1818181818181818
fri,0.1538461538461538,0.152,0.1518987341772152,0.0909090909090909
sat,0.1025641025641025,0.192,0.2025316455696202,0.0909090909090909
sun,0.0769230769230769,0.128,0.1518987341772152,0.0909090909090909
sedan,0.2307692307692307,0.128,0.050632911392405,0.0
jeep,0.0384615384615384,0.016,0.0126582278481012,0.0
pickup,0.0512820512820512,0.112,0.0759493670886076,0.0
minibus,0.2307692307692307,0.272,0.1645569620253164,0.1818181818181818
bus,0.1153846153846153,0.032,0.1392405063291139,0.0909090909090909
truck,0.3333333333333333,0.44,0.5569620253164557,0.7272727272727273
man,0.935897435897436,0.968,0.9873417721518988,1.0
woman,0.0641025641025641,0.032,0.0126582278481012,0.0
st_flat,0.3846153846153846,0.432,0.4050632911392405,0.4545454545454545
st_des,0.2179487179487179,0.32,0.3037974683544304,0.2727272727272727
st_asc,0.1153846153846153,0.08,0.1139240506329113,0.0909090909090909
cuv_flat,0.0769230769230769,0.08,0.0253164556962025,0.0
cuv_des,0.141025641025641,0.056,0.1139240506329113,0.1818181818181818
cuv_asc,0.0641025641025641,0.032,0.0379746835443038,0.0
dry,0.782051282051282,0.792,0.8354430379746836,0.9090909090909092
wet,0.2179487179487179,0.2,0.1645569620253164,0.0909090909090909
sandy,0.0,0.008,0.0,0.0
